==========================================================================================
Copyright to the levels in this file are as follows:

Phil Shapiro <pshapiro@aol.com>
2, 3, 6 - 10, 13, 16 - 19, 21 - 23, 28 - 32, 35, 39, 
42, 44, 46, 47, 53, 57, 65, 66, 70, 72, 74, 75. 

; "Dimitri & Yorick" Collection,
   ####      ######
   #    ## $ $   @#
   # ## ##$#$ $ $##
 ###    ...#  $$ ##
 #       ..#  #   #
 # #     ..#   $  #
 # #     ..   #   #
 #   ### ###     ##
 ###             #
   #             #
   ######   ######
        #####
> 32 PS Simple_s1.dat 17


    ####
    #  ###########
    #            #
    #  #   #     #
    #       #    #
  ###  # #  #### #
  #@#$      ##   #
  #  $$  # #   # #
  #   $  $ $     #
  #####  #########
    #      #
    #      #
    #      #
    #      #
    #......#
    ########
> 33 JD Btl.dat 41







      ########
      #   # .#
      #   $$@#
      ###   .#
        ######
> 34 JD Btl.dat 60






       ######
      ##   .#
      #.  $ #
      #$#$# #
      #@  $ #
      #.  #.#
      #######
> 35 PS Simple_s2.dat 20




          ####
  #########  ##
 ##           #####
 #   ## ##   ## ..#
 # #$$ $ $$#$## ..#
 # #   @   #    ..#
 #  $# ###$$    ..#
 #        $ ##  ..#
 ###        #######
   #  #######
   ####
> 36 JD Btl.dat 6







       ######
       #   .#
       # $$@#
       #  #.#
       ######
> 37 JD Btl.dat 57






           #####
   #########   #
   #  ......$  #
   #   #$###   #
   ### $@$ #   #
     # $ $ #   #
     #     #####
     #######
> 38 JD Btl.dat 12







       ######
       #   .#
       # $$@#
       #  # #
       # .  #
       ######
> 39 PS Simple_s1.dat 24


          ####
     #### #  #
   ### @###$ #
  ##         #
 ##      ## ##
 #  # ##$    #
 # #    $ # ###
 # $   #  #   #####
####    #     #   #
#### ##           #
#     ###  ########
#     # ####
#     #
# ....#
#######
> 40 JD Btl.dat 38






      ########
      #   # .#
      #   $$@#
      ####  .#
         ##  #
          #  #
          ####
> 41 JD Btl.dat 25







        #####
       ##  .#
       # $$ #
       # @.##
       #####
> 42 PS Simple_s2.dat 2




   #######
   #  #  #####
  ##  #  # ..###
  #   #  #   ..#
  #   #$$    ..#
  #   #  #   ..#
  #   # $########
  ##        $   #
  ##  #  $$ #   #
   ######  ##$$@#
        #      ##
        ########
> 43 JD Btl.dat 45






      ####
      #  ####
      #  # .#
      #  $$.#
      ##   @#
       #  ###
       ####
> 44 PS Simple_s2.dat 22


         ####
         #  ##
         #   ##
         #    ##
       ###     ##
    ####        #
  ###  # #####  #
  #    # #.  .  #
  # #$        # #
  #  $ # #.  .# #
  ###  #### ### #
    #### @$  #####
       ### $     #
         #  ##   #
         #########
> 45 JD Btl.dat 19







      ########
      #     .#
      # @$$$.#
      #  #  .#
      ########
> 46 PS Simple_s2.dat 19


   ##########
   #        ####
   # ###### #  ##
   # # $ $    $ #
   #       #$   #
   ###$  $$#  ###
     #  ## #  ##
     ##$#   $ @#
      #      ###
      # #   $  #
      # ##   # #
     ##  ##### #
     #         #
     #  .....###
     #  .....#
     #########
> 47 PS Simple_s2.dat 26



 #################
 #..    #    #   ##
##..      ## # #$ #
#...   #     #    #
#...   #  #  # #  #
#########         #
  #     #$##  ## ##
 ##   $    #      #
 #  ## ### #  ##$ #
 # $ $$        $  #
 # $    $##  ######
 #######  @ ##
       ######
> 48 JD Btl.dat 14







       ######
       #   .#
       # $$ #
       # @###
       ##.#
        ###
> 49 JD Btl.dat 35






     ########
     #   # .#
     #   $$.##
     ####   @#
        # ## #
        #    #
        ######
> 50 JD Btl.dat 7







       ######
       #   .#
       # $$.#
       # $@.#
       ######
> 51 JD Btl.dat 49







      #######
      #     #
      # +$# #
      # **  #
      # *   #
      #######
> 52 JD Btl.dat 20







      #######
      #     #
      #    .#
      #@$$$.#
      #  # .#
      #######
> 53 PS Simple_s2.dat 9


            #####
#####  ######   #
#   ####        #
#     ## ## ##  ##
#                #
###    ## ##     ##
  # ##### #####   #
 ##$##### @##     #
 # $  ###$### $  ##
 # $  #   ###  ###
 # $  $ #   $$ #
 #     #   ##  #
 #######    ###
    #         #
    #.........#
    ###########
> 54 JD Btl.dat 44







      #######
      #  # .#
      #  $$.#
      # #  @#
      #    ##
      ######
> 55 JD Btl.dat 39







      #######
      #    .#
      # $$  #
      ###@# #
        #  .#
        #####
> 56 JD Btl.dat 46







          ####
      ##### .#
      #   $$.#
      # #   @#
      #   ####
      #####
> 57 PS Simple_s2.dat 11


     ############
     #          ##
     #  # #   $  #
     #  # #  ## @#
    ## ## # $ # ##
    #     #$  # #
    #   # $   # #
    ##   $   ## #
    #  #  ##    #
    #    ##   # #
 ######     #   #
 #..  #  ########
 #.     ##
 #.      #
 #.      #
 #########
> 58 JD Btl.dat 2






        #####
        #.  #
      ###   #
      # $*$ #
      #   ###
      #@ .#
      #####
> 59 JD Btl.dat 36







      ########
      #   # .#
      #   $$.#
      ####  @#
         ##  #
          ####
> 60 JD Btl.dat 27







        #####
       ##  .#
       # $$@#
       # .  #
       ######
> 61 JD Btl.dat 59






      #######
      #.   .#
      # # $ #
      #@$$# #
      #   $ #
      #. # .#
      #######
> 62 JD Btl.dat 8







      ########
      #   #  #
      #     .#
      # $$  @#
      # #   .#
      ########
> 63 JD Btl.dat 42







      ########
      #   # .#
      #   $$.#
      ####  @#
         #  ##
         ####
> 64 JD Btl.dat 56







    ##### #####
    #  @# #   #
    # $$### $ #
    # ..   .  #
    ###########
> 65 PS Simple_s1.dat 21


 ###  #############
##@####       #   #
# $$              #
#  $$$#       #   #
# $   #       #   #
###   #      .#   #
#     #      .#   #
#    ###### ###   #
## #  #       #   #
#  ## #       ##  #
# ..# #         # #
# ..# #         # #
##### #       # # #
    # ######### # #
    #           # #
    ###############
> 66 PS Simple_s1.dat 28



 ################
 #              #
 # # ######     #
 # #    $    #  #
 # #   $@$   ## ##
 # #    $  ###   #
 # #        ##   #
 # ###      ##   #
 #     # ## ## ..#
 #####   ## ## ..#
     #####     ###
         #     #
         #######
> 67 JD Btl.dat 43







      ########
      #   # .#
      #   $$.#
      #  #  @#
      #    ###
      ######
> 68 JD Btl.dat 33







     #########
     #   #  .#
     #   $$ @#
     ####   .#
        #  ###
        ####
> 69 JD Btl.dat 54






      #######
      #. ...#
      # $ # #
      #$#$$@#
      #    ##
      #   ##
      #####
> 70 PS Simple_s2.dat 23


      ############
     ##..    #   #
    ##..         #
   ##..  # # #  ##
   #.   # # #    #
####   #  #    # #
#  ## #          #
# @$ $ ###  #   ##
# $   $   # #   #
###$$   # # # # #
  #   $   # # #####
  #  # #####      #
  #    #   #    # #
  #  ###   ##     #
  #  #      #    ##
  ####      ######
> 71 JD Btl.dat 21







      #######
      #    .#
      #@$$$.#
      #   #.#
      #######
> 72 PS Simple_s2.dat 7


    #########
    #....   ##
    #.# #  $ ##
   ##    # # @##
   #     #  #  ##
   #     #$ ##$ #
   ## ###  $    #
    #        #  #
    # #      ## #
    #  ###  ##  #
    #    ## ## ##
    #    #  $  #
    ###      ###
      #  #####
      ####
> 73 JD Btl.dat 17







       ######
       # @ .#
       # $$ #
       #  # #
       ##.  #
        #####
> 74 PS Simple_s2.dat 4


          #####
      #####   #
     ##       ####
 #####    $   ##.#
 #        $  ##..#
 #  ###### ###...#
 ## #  #    #....#
 # $   #    #    #
 #@ #$ ## ####   #
 ####        ##  #
    ##  $        #
     # $$  $ #   #
     #   $ $  ####
     ######   #
          #####
> 75 PS Simple_s2.dat 21


     #########
     #...#...#
     #..###..#
     #..###..#
     #       #
     #       #
     ###   ###
       #   #
   ###### ######
   #           #
   #   $ $ $   #
   ## $ $ $ $ ##
    #$ $ $ $ $#
    #   $@$   #
    #  #####  #
    ####   ####
> 76 JD Btl.dat 47







      #####
      #   ###
      #..$$.#
      # $$@ #
      #   .##
      ######
> 77 JD Btl.dat 34






      ########
      #   # .#
      #   $$@#
      ####  .#
         #  ##
         #  #
         ####
>
